iter	Passed	Remaining
0	145	145554
1	146	73347
2	147	49180
3	148	37055
4	149	29800
5	150	24928
6	152	21568
7	152	18955
8	153	16913
9	155	15347
10	156	14043
11	158	13075
12	159	12130
13	160	11328
14	161	10633
15	162	10024
16	164	9486
17	165	9002
18	165	8564
19	168	8242
20	174	8118
21	176	7829
22	177	7531
23	178	7260
24	179	7008
25	180	6767
26	181	6539
27	182	6328
28	183	6131
29	183	5947
30	185	5785
31	186	5626
32	187	5484
33	188	5351
34	189	5213
35	190	5097
36	191	4985
37	193	4886
38	193	4779
39	194	4675
40	195	4574
41	197	4498
42	199	4437
43	200	4357
44	201	4274
45	203	4216
46	204	4144
47	205	4075
48	206	4008
49	207	3941
50	208	3871
51	209	3810
52	210	3755
53	211	3700
54	212	3653
55	213	3600
56	214	3550
57	215	3503
58	216	3460
59	218	3418
60	219	3377
61	220	3333
62	221	3291
63	222	3254
64	223	3218
65	224	3182
66	226	3151
67	227	3113
68	228	3078
69	229	3045
70	230	3014
71	231	2983
72	232	2952
73	234	2932
74	235	2905
75	236	2880
76	238	2853
77	239	2827
78	240	2799
79	241	2773
80	242	2753
81	244	2733
82	244	2703
83	245	2681
84	247	2662
85	248	2640
86	249	2619
87	251	2607
88	252	2588
89	254	2570
90	255	2550
91	256	2535
92	257	2515
93	259	2498
94	260	2478
95	261	2464
96	263	2448
97	263	2429
98	265	2415
99	266	2402
100	268	2387
101	269	2373
102	270	2358
103	272	2345
104	273	2330
105	274	2315
106	275	2300
107	276	2286
108	278	2274
109	279	2263
110	281	2254
111	283	2245
112	284	2235
113	286	2224
114	287	2210
115	288	2197
116	289	2184
117	290	2170
118	291	2157
119	292	2145
120	293	2133
121	294	2120
122	296	2112
123	297	2103
124	299	2094
125	300	2084
126	301	2073
127	302	2062
128	303	2051
129	304	2041
130	306	2030
131	307	2020
132	308	2010
133	309	2000
134	310	1991
135	311	1981
136	312	1970
137	314	1961
138	314	1951
139	316	1941
140	317	1931
141	317	1919
142	318	1909
143	319	1898
144	320	1887
145	321	1879
146	322	1869
147	323	1863
148	325	1856
149	326	1848
150	328	1845
151	329	1838
152	330	1829
153	331	1821
154	332	1812
155	333	1804
156	334	1795
157	335	1786
158	336	1778
159	337	1773
160	338	1763
161	339	1756
162	340	1748
163	341	1741
164	342	1734
165	343	1727
166	344	1719
167	345	1711
168	346	1703
169	347	1695
170	348	1687
171	349	1681
172	350	1674
173	351	1667
174	352	1662
175	354	1657
176	355	1651
177	356	1645
178	357	1638
179	358	1632
180	359	1625
181	360	1618
182	360	1611
183	361	1604
184	362	1597
185	363	1590
186	364	1584
187	365	1578
188	366	1573
189	367	1567
190	368	1562
191	370	1557
192	371	1552
193	372	1546
194	373	1541
195	374	1536
196	375	1530
197	376	1525
198	377	1520
199	378	1514
200	379	1509
201	380	1504
202	381	1499
203	383	1496
204	385	1493
205	386	1488
206	387	1483
207	388	1478
208	389	1473
209	390	1469
210	391	1463
211	392	1458
212	393	1453
213	394	1448
214	395	1442
215	395	1436
216	396	1431
217	397	1427
218	399	1423
219	400	1418
220	401	1414
221	402	1409
222	403	1405
223	404	1400
224	405	1395
225	405	1390
226	406	1385
227	407	1379
228	408	1375
229	409	1370
230	410	1365
231	410	1360
232	411	1355
233	413	1352
234	414	1348
235	415	1344
236	416	1340
237	417	1337
238	418	1332
239	420	1330
240	421	1328
241	422	1324
242	423	1319
243	424	1315
244	425	1310
245	426	1306
246	427	1302
247	428	1299
248	429	1295
249	430	1292
250	431	1288
